0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15378,2 colors:,White,288 Blue,,,,,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15383,4 colors:,White,199 Red,199 Red (halftone),Black,,,,,,,,,
15384,4 colors:,White,252 Purple,252 Purple (halftone),Black,,,,,,,,,
15294,5 colors:,White,730 Brown,610 Yellow,612 Yellow,Black,,,,,,,,
15376,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15299,2 colors:,White,Independent Red,,,,,,,,,,,
15385,5 colors:,White,Reflex Blue,Reflex Blue (halftone),349 Green,Black,,,,,,,,
15386,5 colors:,White,Reflex Blue (solid),Reflex Blue (halftone),349 Green,Black,,,,,,,,
15351,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15387,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),185 Red,,,,,,,
15388,2 colors:,White,Independent Red,,,,,,,,,,,
15389,3 colors:,White,355 Green,Black,,,,,,,,,,
15390,3 colors:,White,355 Green,Black,,,,,,,,,,
15391,3 colors:,White,Independent Red,Black,,,,,,,,,,
15373,4 colors:,White,1205 Yellow,348 Green,Black,,,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15293,5 colors:,White,392 Brown,397 Yellow,729 Tan,Black,,,,,,,,
15368,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),185 Red,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
15304,6 colors:,White,1215 Yellow,485 Red,349 Green,293 Blue,1405 Brown,,,,,,,
14992,3 colors:,White,186 Red,Black,,,,,,,,,,
15230,4 colors:,White,1805 Red,072 Blue,Black,,,,,,,,,
15392,3 colors:,White,355 Green,Black,,,,,,,,,,
15393,2 colors:,White,Independent Red,,,,,,,,,,,
15394,4 colors:,White,225 Pink,Black Halftone,Black Solid,,,,,,,,,
15056,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15373,4 colors:,White,1205 Yellow,348 Green,Black,,,,,,,,,
15395,5 colors:,White,617 Tan,382 Green,370 Green,Black,,,,,,,,
15396,5 colors:,White,1215 Yellow,349 Green,1405 Brown,Black,,,,,,,,
15396,5 colors:,White,1215 Yellow,349 Green,1405 Brown,Black,,,,,,,,
15226,6 colors:,White,252 Purple,258 Purple,Pantone Purple,390 Green,Black,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15397,3 colors:,White,368 Green,185 Red,,,,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15398,4 colors:,White,368 Green,072 Blue,348 Green,,,,,,,,,
15351,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15345,3 colors:,White,187 Red,288 Blue,,,,,,,,,,
15344,2 colors:,White,288 Blue,,,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15400,5 colors:,White,293 Blue,199 Red,Black,107 Yellow,,,,,,,,
15401,5 colors:,White,293 Blue,199 Red,Black,107 Yellow,,,,,,,,
15402,5 colors:,White,293 Blue,199 Red,347 Green,Black,,,,,,,,
15403,5 colors:,White,293 Blue,199 Red,347 Green,Black,,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15399,4 colors:,White,101 Yellow,715 Orange,375 Green,,,,,,,,,
15404,3 colors:,White,368 Green,185 Red,,,,,,,,,,
14757,2 colors:,White,Reflex Blue,,,,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15385,5 colors:,White,Reflex Blue,Reflex Blue (halftone),349 Green,Black,,,,,,,,
15405,2 colors:,White,Independent Red,,,,,,,,,,,
15406,3 colors:,White,Independent Red,Black,,,,,,,,,,
15328,6 colors:,White,130 Yellow,1805 Red,362 Green,2627 Purple,Black,,,,,,,
15074,4 colors:,White,185 Red,Reflex Blue,Black,,,,,,,,,
15350,3 colors:,White,208 Red,Black,,,,,,,,,,
15296,2 colors:,White,072 Blue,,,,,,,,,,,
15361,5 colors:,White,130 Orange,7460 Blue,072 Blue,Black,,,,,,,,
15385,5 colors:,White,Reflex Blue,Reflex Blue (halftone),349 Green,Black,,,,,,,,
15347,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15407,3 colors:,White,355 Green,Black,,,,,,,,,,
15408,2 colors:,White,Independent Red,,,,,,,,,,,
15409,3 colors:,White,Reflex Blue,199 Red,,,,,,,,,,
15019,3 colors:,White,Reflex Blue,199 Red,,,,,,,,,,
15398,4 colors:,White,368 Green,072 Blue,348 Green,,,,,,,,,
15008,3 colors:,White,219 Red,Black,,,,,,,,,,
15170,4 colors:,White,123 Yellow,1665 Red,370 Green,,,,,,,,,
15375,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15410,3 colors:,White,199 Red,Black,,,,,,,,,,
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15381,5 colors:,White,1585 Orange,255 Purple,7467 Teal,Black,,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15397,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15343,2 colors:,White,032 Red,,,,,,,,,,,
15345,3 colors:,White,187 Red,288 Blue,,,,,,,,,,
15351,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15344,2 colors:,White,288 Blue,,,,,,,,,,,
15376,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15213,6 colors:,White,130 Yellow,1805 Red,362 Green,072 Blue,Black,,,,,,,
15415,4 colors:,White,366 Green,Black Halftone,Black Solid,,,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15359,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15161,5 colors:,White,187 Red,288 Blue,274 Blue (halftone),274 Blue (solid),,,,,,,,
15386,5 colors:,White,Reflex Blue (solid),Reflex Blue (halftone),349 Green,Black,,,,,,,,
15210,5 colors:,White,123 Yellow,186 Red,355 Green,Black,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15354,4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,
15352,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15335,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15417,3 colors:,White,348 Green,Black,,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15372,5 colors:,White,072 Blue,130 Orange,362 Green,Black,,,,,,,,
15296,2 colors:,White,072 Blue,,,,,,,,,,,
15296,2 colors:,White,072 Blue,,,,,,,,,,,
15208,4 colors:,White,1505 Orange,1805 Red,Black,,,,,,,,,
15349,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),355 Green,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15358,4 colors:,White,368 Green,Black,218 Pink,,,,,,,,,
15362,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
15416,4 colors:,White,187 Red,288 Blue,7460 Blue,,,,,,,,,
15201,2 colors:,White,072 Blue,,,,,,,,,,,
15256,6 colors:,White,175 Brown,348 Green,369 Green,2597 Purple,Black,,,,,,,
15230,4 colors:,White,1805 Red,072 Blue,Black,,,,,,,,,
15361,5 colors:,White,130 Orange,7460 Blue,072 Blue,Black,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15170,4 colors:,White,123 Yellow,1665 Red,370 Green,,,,,,,,,
15362,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
15418,4 colors:,White,1205 Yellow,348 Green,Black,,,,,,,,,
15354,4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,
15347,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15419,4 colors:,White,186 Red,Reflex Blue,2757 Blue,,,,,,,,,
15420,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15417,3 colors:,White,348 Green,Black,,,,,,,,,,
15381,5 colors:,White,1585 Orange,255 Purple,7467 Teal,Black,,,,,,,,
15374,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15393,2 colors:,White,Independent Red,,,,,,,,,,,
15376,4 colors:,White,187 Red,288 Blue,7460 Teal,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15056,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15278,2 colors:,White,Black,,,,,,,,,,,
15362,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
15362,4 colors:,White,282 Blue,1797 Red,656 Gray,,,,,,,,,
14734,3 colors:,White,368 Green,185 Red,,,,,,,,,,
15391,3 colors:,White,Independent Red,Black,,,,,,,,,,
15318,6 colors:,White,130 Yellow,1805 Red,362 Green,2627 Purple,Black,,,,,,,
15318,6 colors:,White,130 Yellow,1805 Red,362 Green,2627 Purple,Black,,,,,,,
14900,2 colors:,White,032 Red,,,,,,,,,,,
15347,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15292,5 colors:,White,1205 Yellow,187 Red,370 Green,Black,,,,,,,,
15382,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),871 Gold,,,,,,,
15359,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15353,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15354,4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,
15356,3 colors:,White,368 Green,Black,,,,,,,,,,
15358,4 colors:,White,368 Green,Black,218 Pink,,,,,,,,,
15355,4 colors:,White,368 Green,Black,109 Yellow,,,,,,,,,
15352,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15383,4 colors:,White,199 Red,199 Red (halftone),Black,,,,,,,,,
15383,4 colors:,White,199 Red,199 Red (halftone),Black,,,,,,,,,
15192,6 colors:,White,130 Yellow,362 Green,072 Blue,7460 Blue,Black,,,,,,,
15345,3 colors:,White,187 Red,288 Blue,,,,,,,,,,
15293,5 colors:,White,392 Brown,397 Yellow,729 Tan,Black,,,,,,,,
15420,4 colors:,White,368 Green,Black,185 Red,,,,,,,,,
15343,2 colors:,White,032 Red,,,,,,,,,,,
15213,6 colors:,White,130 Yellow,1805 Red,362 Green,072 Blue,Black,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15008,3 colors:,White,219 Red,Black,,,,,,,,,,
15019,3 colors:,White,Reflex Blue,199 Red,,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15422,3 colors:,White,201 Red,Black,,,,,,,,,,
15191,5 colors:,White,212 Pink,362 Green,130 Yellow,Black,,,,,,,,
15384,4 colors:,White,252 Purple,252 Purple (halftone),Black,,,,,,,,,
15384,4 colors:,White,252 Purple,252 Purple (halftone),Black,,,,,,,,,
